自增ID,款号,款式名称商品名称,商品标签,产品分类,中类,退货率,销售数量,净销量,实发数量,实发金额,销售金额,销售成本,实发成本,销售毛利,退货数量,实退数量,退货金额,退货成本,实退成本,实退金额,退货毛利,净销售额,净销售成本,净销售毛利,优惠金额,运费收入,运费支出,基本金额,已付金额,实发退货率,基本售价,五类,延续内容,延续月份,年份,季节,商品状态,折扣,现货,货量,主仓,SKC库存,净销售金额,设计师(人员),元素类型,上新波次,销售顶峰,可售周期,小波段,超级直播,延续方向,延续结果,复盘结论,开售评级
43,SPU042,家居服夏季款,热卖,内衣,家居服,0.0557,323,305,160,21873.77,6679.15,4277.98,12366.16,2401.17,18,11,226.23,256.91,48.57,899.29,171.155,5779.86,4229.41,1550.45,440.57,43.92,2.79,7520.63,5587.6,0.0688,230.35,D类,改进款,7月,2025,夏季,清仓,0.82,816,341,231,67,5779.86,杨婷,运动,第一波,6月,3个月,D波,是,停用,一般,优秀,C
44,SPU043,训练外套经典款,限量,运动,运动外套,0.0288,3998,3883,1684,22593.71,4103.47,2306.11,13714.64,1797.36,115,113,372.31,205.48,303.41,48.14,264.042,4055.33,2002.7,2052.63,288.42,16.92,15.69,4432.7,3360.94,0.0671,347.77,B类,经典款,6月,2025,冬季,清仓,0.57,846,1143,1255,27,4055.33,朱东,简约,第二波,全年平销,长期,D波,否,延续,待评估,需改进,B
45,SPU044,风衣新款,爆款,童装,外套,0.1058,1824,1631,1673,12515.0,23495.64,14579.15,5336.7,8916.49,193,103,3460.76,1666.88,1894.16,1708.93,111.346,21786.71,12684.99,9101.72,1088.07,1.79,16.47,26558.61,22517.2,0.0616,483.43,未分组,改进款,9月,2025,秋冬,清仓,0.98,372,1690,111,418,21786.71,杨敏,复古,第四波,9月,长期,C波,是,延续,成功,一般,A
46,SPU045,羽绒服秋冬款,新品,童装,外套,0.119,4486,3952,870,3243.13,9043.61,3221.15,1302.82,5822.46,534,382,338.49,86.66,357.61,998.05,752.886,8045.56,2863.54,5182.02,265.91,41.23,5.72,8457.34,8604.36,0.4391,70.93,未分组,无,2月,2024,夏季,下架,0.98,137,1973,1021,2,8045.56,申小红,商务,第一波,全年平销,长期,E波,是,改进,一般,一般,A
47,SPU046,家居服经典款,限量,内衣,家居服,0.1421,4988,4279,2241,20495.63,17800.08,7434.55,11887.58,10365.53,709,254,2043.09,385.47,218.17,2183.56,1121.646,15616.52,7216.38,8400.14,1556.86,35.59,28.07,18744.08,14955.23,0.1133,330.88,C类,改进款,11月,2023,冬季,停售,0.75,710,1304,660,363,15616.52,张金凤,简约,第三波,全年平销,长期,E波,是,创新,待评估,好,E
48,SPU047,A字连衣裙夏季款,联名,女装,连衣裙,0.0161,434,427,136,37759.07,8885.83,3684.48,23174.36,5201.35,7,3,342.64,316.0,469.82,400.56,313.202,8485.27,3214.66,5270.61,450.81,30.81,20.27,9105.79,7507.3,0.0221,341.2,D类,升级款,9月,2025,春季,在售,0.96,396,853,1403,160,8485.27,张文,商务,第一波,3月,1年,B波,是,改进,失败,一般,B
49,SPU048,运动套装热卖款,设计师款,童装,套装,0.0377,610,587,526,6848.34,2991.08,1231.26,2753.08,1759.82,23,5,168.33,134.65,40.05,140.56,55.738,2850.52,1191.21,1659.31,71.29,16.13,1.53,3508.4,2761.13,0.0095,347.85,D类,无,9月,2024,春夏,预售,0.76,979,376,1066,34,2850.52,裴芳,商务,第二波,12月,长期,A波,是,改进,一般,需改进,C
50,SPU049,风衣新款,热卖,童装,外套,0.1119,4345,3859,72,6621.38,17954.36,7112.42,4526.1,10841.94,486,287,1895.21,390.69,985.82,1793.95,1498.687,16160.41,6126.6,10033.81,1706.54,19.29,16.21,16394.69,17635.98,3.9861,419.95,C类,无,无,2025,夏季,清仓,0.52,919,1334,394,164,16160.41,张梅,商务,第一波,3月,6个月,E波,否,延续,一般,一般,D
51,SPU050,休闲裤热卖款,限量,女装,下装,0.0205,3565,3492,97,23502.04,17254.05,5780.25,7712.83,11473.8,73,19,2157.22,795.0,700.51,303.63,769.532,16950.42,5079.74,11870.68,873.08,20.22,9.49,16491.43,14211.49,0.1959,52.65,未分组,无,2月,2025,秋季,在售,0.85,74,732,1029,54,16950.42,许文,时尚,第三波,全年平销,3个月,C波,是,停用,待评估,好,D
52,SPU051,短袖T恤夏季款,联名,男装,T恤,0.1271,3203,2796,1208,48046.58,8059.7,4601.41,26866.51,3458.29,407,279,1160.88,53.2,558.16,1112.11,458.111,6947.59,4043.25,2904.34,183.15,2.09,17.18,7718.23,7330.34,0.231,88.31,B类,改进款,4月,2024,冬季,下架,0.57,188,452,1263,427,6947.59,李秀英,时尚,第二波,3月,6个月,E波,否,停用,成功,需改进,A
53,SPU052,休闲衬衫热卖款,热卖,童装,上装,0.1047,4756,4258,2710,18499.78,33893.48,13347.7,7901.52,20545.78,498,487,2477.29,1285.22,263.93,1691.94,1084.706,32201.54,13083.77,19117.77,2120.89,28.28,10.93,31403.44,30018.15,0.1797,52.17,B类,升级款,12月,2025,冬季,清仓,0.64,368,275,1391,375,32201.54,郑荣,时尚,第四波,12月,长期,C波,是,停用,成功,一般,E
54,SPU053,风衣新款,爆款,女装,外套,0.0416,1609,1542,1489,4694.6,1912.88,961.93,2852.82,950.95,67,9,76.11,14.56,87.98,27.48,44.206,1885.4,873.95,1011.45,173.04,26.98,19.62,1644.03,1680.46,0.006,451.15,E类,改进款,3月,2024,秋季,下架,0.55,372,1028,21,339,1885.4,赫晨,复古,特别款,6月,6个月,D波,否,改进,一般,优秀,C
55,SPU054,短裤夏季款,爆款,女装,下装,0.0642,514,481,239,3097.61,11131.93,7381.48,2021.56,3750.45,33,23,173.51,744.0,559.18,674.32,91.704,10457.61,6822.3,3635.31,1081.58,31.68,8.2,12209.1,10193.8,0.0962,306.57,D类,经典款,6月,2025,冬季,在售,0.76,385,1992,456,264,10457.61,宋想,休闲,第三波,9月,长期,D波,否,改进,待评估,一般,B
56,SPU055,风衣夏季款,爆款,女装,外套,0.0261,1531,1491,1232,36147.83,6798.18,2665.83,20607.58,4132.35,40,23,523.89,247.15,295.47,840.01,415.782,5958.17,2370.36,3587.81,319.38,12.18,3.84,7049.3,5621.72,0.0187,280.69,E类,升级款,1月,2023,春季,停售,0.76,415,1227,1154,326,5958.17,许冬梅,简约,第三波,3月,6个月,D波,是,停用,一般,一般,D
57,SPU056,运动长裤新款,新品,运动,运动裤,0.0645,4184,3914,2807,46195.25,30230.13,9901.49,17597.59,20328.64,270,85,3940.28,798.16,282.29,1902.97,1398.027,28327.16,9619.2,18707.96,709.21,4.81,14.28,31617.67,24420.12,0.0303,402.74,E类,延续款,2月,2024,冬季,停售,0.95,552,1694,2,459,28327.16,韦燕,运动,第四波,全年平销,长期,C波,否,停用,一般,优秀,D
58,SPU057,针织衫夏季款,新品,童装,上装,0.117,2085,1841,952,45594.18,5107.06,2754.32,26611.48,2352.74,244,196,615.5,250.42,126.95,439.83,62.338,4667.23,2627.37,2039.86,54.38,32.73,20.63,4730.98,4455.67,0.2059,119.65,未分组,无,5月,2024,秋季,清仓,0.78,626,564,1393,203,4667.23,任淑兰,复古,第四波,全年平销,长期,B波,是,停用,失败,需改进,E
59,SPU058,运动套装热卖款,限量,童装,套装,0.0595,975,917,801,35266.26,8927.96,3444.26,19241.63,5483.7,58,28,944.93,59.54,197.64,589.95,353.559,8338.01,3246.62,5091.39,600.22,40.22,24.7,8826.78,8214.16,0.035,89.66,C类,升级款,6月,2023,秋季,在售,0.86,953,820,1257,335,8338.01,蔡建华,商务,第三波,全年平销,3个月,B波,是,停用,成功,一般,E
60,SPU059,牛仔裤新款,清仓,童装,下装,0.1263,4182,3654,1388,34027.19,18627.26,10468.66,20820.19,8158.6,528,237,1107.16,683.81,231.96,2730.58,751.009,15896.68,10236.7,5659.98,1054.24,36.85,2.06,15573.63,15961.68,0.1707,423.39,E类,改进款,6月,2024,秋冬,下架,0.98,465,1904,827,294,15896.68,罗勇,简约,第三波,6月,长期,E波,否,延续,失败,需改进,A
61,SPU060,运动T恤热卖款,限量,运动,运动T恤,0.1064,3627,3241,1980,38728.39,38116.19,26090.36,24972.43,12025.83,386,288,2953.08,1202.63,1943.75,2829.7,764.533,35286.49,24146.61,11139.88,3086.61,11.02,21.04,42692.59,33636.97,0.1455,208.89,E类,延续款,12月,2024,秋冬,预售,0.55,689,1533,700,38,35286.49,任丽娟,商务,第二波,12月,1年,C波,否,创新,一般,一般,D
62,SPU061,休闲裤夏季款,新品,男装,下装,0.0483,2174,2069,830,41912.08,41980.4,18572.59,23903.5,23407.81,105,29,4318.92,1781.78,497.43,4997.82,2738.578,36982.58,18075.16,18907.42,2465.62,2.11,14.47,44006.67,37718.05,0.0349,493.41,E类,改进款,8月,2023,秋季,预售,0.7,768,1181,262,27,36982.58,马红梅,商务,第四波,12月,3个月,E波,是,停用,一般,优秀,A
63,SPU062,套头卫衣热卖款,热卖,运动,卫衣,0.0,68,68,48,29469.4,16946.37,9237.66,12016.54,7708.71,0,0,2443.56,536.09,801.82,785.6,275.57,16160.77,8435.84,7724.93,816.05,20.95,22.57,16031.79,14914.81,0.0,252.83,E类,升级款,10月,2025,秋冬,在售,0.86,823,482,1137,221,16160.77,杨建平,休闲,第二波,6月,6个月,D波,否,改进,待评估,优秀,B
