自增ID,统计日期,店铺名称,商品ID,商品名称,SKU ID,SKU名称,加购件数,下单件数,下单买家数,下单金额,支付件数,支付买家数,支付金额,款号,颜色,分款号,波段,链接,上线前三天,记录日期,商品编码
34,2025-09-27,GAP女装官方旗舰店,330552,羽绒服新款,280189,SPU007-米色-XS,825,299,196,13313,162,138,1142,SPU007,米色,SUB264,A波,https://shop.example.com/product/84873,2025-09-27,2025-10-12 22:22:55,SPU007-米色-XS
35,2025-10-01,秋水伊人官方旗舰店,948875,羽绒服新款,609877,SPU007-米色-XL,255,379,48,16134,314,208,14481,SPU007,米色,SUB347,D波,https://shop.example.com/product/89902,2025-10-01,2025-10-18 21:25:16,SPU007-米色-XL
36,2025-09-16,ONLY女装官方旗舰店,331044,开衫春季款,393046,SPU008-米色-S,27,84,0,15648,22,21,20217,SPU008,米色,SUB545,D波,https://shop.example.com/product/68479,2025-09-16,2025-10-03 23:23:48,SPU008-米色-S
37,2025-09-22,COS官方旗舰店,988439,开衫春季款,185980,SPU008-米色-均码,209,109,91,29106,29,14,9855,SPU008,米色,SUB856,D波,https://shop.example.com/product/90616,2025-09-22,2025-10-12 03:42:50,SPU008-米色-均码
38,2025-09-27,耐克官方旗舰店,667557,开衫春季款,902219,SPU008-米色-XL,556,384,105,44126,194,125,28616,SPU008,米色,SUB908,C波,https://shop.example.com/product/52215,2025-09-27,2025-10-26 06:34:36,SPU008-米色-XL
39,2025-09-26,欧时力女装官方旗舰店,745543,开衫春季款,506743,SPU008-米色-均码,26,10,7,39751,7,3,24442,SPU008,米色,SUB247,A波,https://shop.example.com/product/88768,2025-09-26,2025-10-26 14:37:25,SPU008-米色-均码
40,2025-10-05,ZARA男装官方旗舰店,496009,开衫热卖款,276560,SPU009-橙色-S,827,428,106,14282,357,160,23151,SPU009,橙色,SUB514,C波,https://shop.example.com/product/42606,2025-10-05,2025-10-12 09:45:43,SPU009-橙色-S
41,2025-09-26,Stradivarius女装官方旗舰店,342111,开衫热卖款,497875,SPU009-橙色-XS,961,366,12,44989,148,144,15995,SPU009,橙色,SUB760,A波,https://shop.example.com/product/69276,2025-09-26,2025-10-18 15:13:53,SPU009-橙色-XS
42,2025-09-15,太平鸟女装官方旗舰店,699425,开衫热卖款,461951,SPU009-橙色-S,736,365,195,1343,11,7,28592,SPU009,橙色,SUB841,D波,https://shop.example.com/product/65592,2025-09-15,2025-10-12 19:30:49,SPU009-橙色-S
43,2025-09-12,播官方旗舰店,465145,开衫热卖款,339659,SPU009-橙色-XXL,68,45,23,17030,27,15,10361,SPU009,橙色,SUB272,B波,https://shop.example.com/product/86741,2025-09-12,2025-10-07 20:07:50,SPU009-橙色-XXL
44,2025-09-29,杰克琼斯男装官方旗舰店,656727,套头卫衣秋冬款,949495,SPU010-黑色-XS,200,330,18,24998,264,186,3144,SPU010,黑色,SUB878,B波,https://shop.example.com/product/21792,2025-09-29,2025-10-05 08:07:26,SPU010-黑色-XS
45,2025-10-24,GAP官方旗舰店,745346,套头卫衣秋冬款,829088,SPU010-黑色-M,102,362,128,5194,81,67,16721,SPU010,黑色,SUB563,B波,https://shop.example.com/product/48424,2025-10-14,2025-10-30 14:24:34,SPU010-黑色-M
46,2025-09-18,秋水伊人官方旗舰店,295056,套头卫衣秋冬款,340216,SPU010-黑色-XXL,104,72,39,10920,55,33,4376,SPU010,黑色,SUB337,A波,https://shop.example.com/product/91388,2025-09-18,2025-10-08 02:26:55,SPU010-黑色-XXL
47,2025-09-18,优衣库童装官方旗舰店,921140,套头卫衣秋冬款,922359,SPU010-黑色-XL,22,26,9,35909,18,15,27739,SPU010,黑色,SUB271,B波,https://shop.example.com/product/12252,2025-09-18,2025-10-03 20:47:56,SPU010-黑色-XL
48,2025-10-20,杰克琼斯男装官方旗舰店,847140,运动T恤春季款,180790,SPU011-棕色-XXL,137,413,395,6652,100,34,11713,SPU011,棕色,SUB646,A波,https://shop.example.com/product/70625,2025-10-14,2025-10-22 06:06:56,SPU011-棕色-XXL
49,2025-10-11,H&M男装官方旗舰店,287615,运动T恤春季款,260137,SPU011-棕色-均码,546,283,95,16098,188,2,21330,SPU011,棕色,SUB975,B波,https://shop.example.com/product/45695,2025-10-11,2025-10-31 07:11:44,SPU011-棕色-均码
50,2025-10-03,欧时力女装官方旗舰店,629016,运动T恤春季款,159611,SPU011-棕色-XS,403,262,69,10944,10,0,30740,SPU011,棕色,SUB259,B波,https://shop.example.com/product/41709,2025-10-03,2025-10-25 22:11:21,SPU011-棕色-XS
51,2025-10-13,Massimo Dutti男装官方旗舰店,485027,运动T恤春季款,701740,SPU011-棕色-M,571,441,236,16108,311,232,11478,SPU011,棕色,SUB827,A波,https://shop.example.com/product/42534,2025-10-11,2025-10-22 10:18:51,SPU011-棕色-M
52,2025-09-12,杰克琼斯男装官方旗舰店,891164,条纹衬衫夏季款,144327,SPU012-米色-XXL,17,82,48,8906,81,0,18822,SPU012,米色,SUB571,D波,https://shop.example.com/product/98804,2025-09-12,2025-10-05 09:40:34,SPU012-米色-XXL
53,2025-09-23,森马男装官方旗舰店,667771,条纹衬衫夏季款,861512,SPU012-米色-S,827,386,268,30580,202,165,34056,SPU012,米色,SUB462,D波,https://shop.example.com/product/42955,2025-09-23,2025-10-15 20:55:06,SPU012-米色-S
54,2025-10-13,Bershka官方旗舰店,627593,条纹衬衫夏季款,999601,SPU012-米色-M,511,268,64,2386,208,52,4811,SPU012,米色,SUB714,C波,https://shop.example.com/product/49117,2025-10-11,2025-10-25 18:23:22,SPU012-米色-M
55,2025-10-08,Stradivarius女装官方旗舰店,532446,条纹衬衫夏季款,501156,SPU012-米色-XXXL,96,59,19,24485,38,1,20614,SPU012,米色,SUB598,B波,https://shop.example.com/product/12102,2025-10-08,2025-10-25 06:08:48,SPU012-米色-XXXL
56,2025-10-06,GAP男装官方旗舰店,769467,条纹衬衫夏季款,886796,SPU012-米色-L,75,110,57,38694,55,50,9164,SPU012,米色,SUB764,C波,https://shop.example.com/product/61951,2025-10-06,2025-10-29 17:12:01,SPU012-米色-L
57,2025-10-05,耐克官方旗舰店,338101,套头卫衣新款,560352,SPU013-米色-均码,129,125,62,26164,18,14,30487,SPU013,米色,SUB480,B波,https://shop.example.com/product/70725,2025-10-05,2025-10-29 13:44:20,SPU013-米色-均码
58,2025-09-28,ZARA官方旗舰店,357284,套头卫衣新款,252607,SPU013-米色-S,163,66,12,19360,53,23,3481,SPU013,米色,SUB458,D波,https://shop.example.com/product/60666,2025-09-28,2025-10-13 07:10:08,SPU013-米色-S
59,2025-09-18,Pull&Bear男装官方旗舰店,554434,套头卫衣新款,181918,SPU013-米色-M,1225,454,150,23250,334,262,36150,SPU013,米色,SUB588,A波,https://shop.example.com/product/72843,2025-09-18,2025-10-06 12:43:28,SPU013-米色-M
60,2025-09-16,美特斯邦威官方旗舰店,302877,西装外套春季款,425416,SPU014-灰色-均码,64,34,10,724,22,3,9564,SPU014,灰色,SUB862,C波,https://shop.example.com/product/17849,2025-09-16,2025-10-10 00:14:19,SPU014-灰色-均码
61,2025-09-30,VERO MODA官方旗舰店,761310,西装外套春季款,646403,SPU014-灰色-XS,23,12,0,29383,8,6,21891,SPU014,灰色,SUB917,D波,https://shop.example.com/product/55472,2025-09-30,2025-10-09 04:22:38,SPU014-灰色-XS
62,2025-10-07,欧时力官方旗舰店,485841,西装外套春季款,153389,SPU014-灰色-均码,820,318,264,38379,167,31,28730,SPU014,灰色,SUB876,D波,https://shop.example.com/product/66807,2025-10-07,2025-10-09 11:36:39,SPU014-灰色-均码
63,2025-09-27,优衣库官方旗舰店,798687,牛仔裤秋冬款,917163,SPU015-灰色-M,1122,390,373,49082,263,259,4409,SPU015,灰色,SUB257,D波,https://shop.example.com/product/53273,2025-09-27,2025-10-09 22:09:01,SPU015-灰色-M
64,2025-09-13,H&M男装官方旗舰店,857641,牛仔裤秋冬款,766060,SPU015-灰色-M,273,338,73,9319,225,195,12866,SPU015,灰色,SUB195,D波,https://shop.example.com/product/46144,2025-09-13,2025-10-09 18:47:29,SPU015-灰色-M
65,2025-09-23,优衣库官方旗舰店,146151,牛仔裤秋冬款,417624,SPU015-灰色-L,12,201,34,12746,56,26,37309,SPU015,灰色,SUB298,D波,https://shop.example.com/product/29876,2025-09-23,2025-10-12 16:52:09,SPU015-灰色-L
66,2025-09-10,美特斯邦威男装官方旗舰店,367541,运动长裤经典款,320846,SPU016-绿色-XXL,0,218,16,10708,140,9,17400,SPU016,绿色,SUB844,D波,https://shop.example.com/product/18662,2025-09-10,2025-10-09 00:46:36,SPU016-绿色-XXL
67,2025-10-14,ONLY女装官方旗舰店,273648,运动长裤经典款,805284,SPU016-绿色-XXXL,252,112,14,5240,59,42,30120,SPU016,绿色,SUB931,C波,https://shop.example.com/product/90844,2025-10-12,2025-10-18 13:12:16,SPU016-绿色-XXXL
68,2025-09-14,Mango女装官方旗舰店,591704,运动长裤经典款,370620,SPU016-绿色-XL,677,372,323,43577,190,83,34518,SPU016,绿色,SUB259,C波,https://shop.example.com/product/87837,2025-09-14,2025-10-05 09:56:59,SPU016-绿色-XL
69,2025-10-07,太平鸟官方旗舰店,954517,速干短裤春季款,123304,SPU017-白色-L,888,398,247,17838,125,42,33347,SPU017,白色,SUB407,D波,https://shop.example.com/product/63046,2025-10-07,2025-10-20 08:45:50,SPU017-白色-L
70,2025-09-06,韩都衣舍官方旗舰店,940615,速干短裤春季款,370157,SPU017-白色-XL,13,26,26,9697,18,17,14655,SPU017,白色,SUB964,B波,https://shop.example.com/product/42602,2025-09-06,2025-10-03 09:24:01,SPU017-白色-XL
71,2025-10-09,Pull&Bear官方旗舰店,203386,速干短裤春季款,831257,SPU017-白色-M,555,237,129,23789,231,105,26204,SPU017,白色,SUB529,C波,https://shop.example.com/product/49201,2025-10-09,2025-10-13 11:37:01,SPU017-白色-M
72,2025-09-18,Bershka官方旗舰店,753323,速干短裤春季款,604547,SPU017-白色-M,121,41,4,20575,15,1,28549,SPU017,白色,SUB515,D波,https://shop.example.com/product/30191,2025-09-18,2025-10-01 20:43:42,SPU017-白色-M
73,2025-09-19,耐克官方旗舰店,449999,速干短裤春季款,488371,SPU017-白色-XXL,121,212,78,15445,121,62,32234,SPU017,白色,SUB505,B波,https://shop.example.com/product/63125,2025-09-19,2025-10-13 08:34:35,SPU017-白色-XXL
74,2025-10-29,江南布衣官方旗舰店,400383,休闲裤秋冬款,355051,SPU018-红色-XS,625,220,205,10806,217,86,10432,SPU018,红色,SUB712,C波,https://shop.example.com/product/87784,2025-10-19,2025-10-30 00:36:33,SPU018-红色-XS
75,2025-09-30,COS官方旗舰店,186082,休闲裤秋冬款,186308,SPU018-红色-L,8,192,38,35413,21,13,32286,SPU018,红色,SUB194,B波,https://shop.example.com/product/16731,2025-09-30,2025-10-18 16:08:08,SPU018-红色-L
76,2025-09-29,Stradivarius官方旗舰店,134272,休闲裤秋冬款,239967,SPU018-红色-XL,2,1,1,44481,1,1,37486,SPU018,红色,SUB189,A波,https://shop.example.com/product/31655,2025-09-29,2025-10-24 06:09:53,SPU018-红色-XL
77,2025-09-13,美特斯邦威官方旗舰店,204827,休闲裤秋冬款,140833,SPU018-红色-XS,1193,457,42,2589,158,157,13,SPU018,红色,SUB941,B波,https://shop.example.com/product/32273,2025-09-13,2025-10-08 04:49:37,SPU018-红色-XS
78,2025-09-13,Massimo Dutti女装官方旗舰店,614179,针织连衣裙热卖款,212762,SPU019-黑色-XS,547,459,303,19099,200,157,34477,SPU019,黑色,SUB173,C波,https://shop.example.com/product/28168,2025-09-13,2025-10-03 16:49:41,SPU019-黑色-XS
79,2025-09-28,杰克琼斯男装官方旗舰店,993801,针织连衣裙热卖款,372611,SPU019-黑色-S,20,33,32,6299,29,15,39746,SPU019,黑色,SUB329,C波,https://shop.example.com/product/14198,2025-09-28,2025-10-21 00:05:50,SPU019-黑色-S
80,2025-10-04,ZARA女装官方旗舰店,270715,针织连衣裙热卖款,828664,SPU019-黑色-S,484,201,115,23511,86,65,20080,SPU019,黑色,SUB400,D波,https://shop.example.com/product/64784,2025-10-04,2025-10-24 10:34:40,SPU019-黑色-S
81,2025-09-26,GAP童装官方旗舰店,988272,家居服春季款,424351,SPU020-蓝色-M,668,413,107,15773,120,59,9746,SPU020,蓝色,SUB820,B波,https://shop.example.com/product/14823,2025-09-26,2025-10-04 18:05:19,SPU020-蓝色-M
82,2025-09-19,GXG男装官方旗舰店,223436,家居服春季款,254853,SPU020-蓝色-M,13,40,28,8264,3,1,4813,SPU020,蓝色,SUB389,C波,https://shop.example.com/product/51936,2025-09-19,2025-10-14 00:04:19,SPU020-蓝色-M
83,2025-10-15,H&M女装官方旗舰店,604990,家居服春季款,556481,SPU020-蓝色-均码,419,296,62,42225,122,85,36183,SPU020,蓝色,SUB846,C波,https://shop.example.com/product/37495,2025-10-12,2025-10-25 16:51:01,SPU020-蓝色-均码
84,2025-09-05,优衣库童装官方旗舰店,135479,家居服春季款,481901,SPU020-蓝色-M,320,458,200,12549,242,88,4329,SPU020,蓝色,SUB150,A波,https://shop.example.com/product/43053,2025-09-05,2025-10-03 03:56:26,SPU020-蓝色-M
85,2025-09-30,Massimo Dutti女装官方旗舰店,621789,家居服春季款,586019,SPU020-蓝色-L,407,199,181,21206,47,28,8709,SPU020,蓝色,SUB935,C波,https://shop.example.com/product/65358,2025-09-30,2025-10-03 07:09:52,SPU020-蓝色-L
86,2025-10-10,ONLY女装官方旗舰店,888019,速干T恤热卖款,694090,SPU021-红色-S,888,337,94,487,161,42,16423,SPU021,红色,SUB525,A波,https://shop.example.com/product/73818,2025-10-10,2025-10-27 09:40:19,SPU021-红色-S
87,2025-10-22,Pull&Bear官方旗舰店,144066,速干T恤热卖款,247158,SPU021-红色-XL,491,448,262,39578,171,126,18209,SPU021,红色,SUB307,B波,https://shop.example.com/product/64771,2025-10-13,2025-10-23 12:50:43,SPU021-红色-XL
88,2025-09-17,优衣库男装官方旗舰店,478250,速干T恤热卖款,845920,SPU021-红色-S,21,19,19,24446,0,0,179,SPU021,红色,SUB207,D波,https://shop.example.com/product/75677,2025-09-17,2025-10-14 23:54:59,SPU021-红色-S
89,2025-10-09,Pull&Bear官方旗舰店,448670,速干T恤热卖款,813404,SPU021-红色-L,258,103,35,34791,27,12,34651,SPU021,红色,SUB704,B波,https://shop.example.com/product/67008,2025-10-09,2025-10-28 06:55:23,SPU021-红色-L
90,2025-09-07,COS女装官方旗舰店,141340,家居服春季款,577052,SPU022-绿色-XL,1120,394,148,35310,374,233,2917,SPU022,绿色,SUB391,C波,https://shop.example.com/product/12348,2025-09-07,2025-10-04 08:27:05,SPU022-绿色-XL
91,2025-09-08,优衣库男装官方旗舰店,930302,家居服春季款,165848,SPU022-绿色-XXL,485,208,106,30378,150,146,15135,SPU022,绿色,SUB422,B波,https://shop.example.com/product/68886,2025-09-08,2025-10-02 15:45:11,SPU022-绿色-XXL
92,2025-10-23,Stradivarius女装官方旗舰店,783728,家居服春季款,993559,SPU022-绿色-均码,19,135,58,43806,76,74,16655,SPU022,绿色,SUB504,C波,https://shop.example.com/product/10561,2025-10-20,2025-10-30 06:08:35,SPU022-绿色-均码
93,2025-10-03,优衣库官方旗舰店,332575,家居服春季款,961412,SPU022-绿色-均码,460,271,122,26016,117,0,28181,SPU022,绿色,SUB148,A波,https://shop.example.com/product/45865,2025-10-03,2025-10-05 11:34:52,SPU022-绿色-均码
94,2025-09-17,耐克官方旗舰店,626124,休闲衬衫秋冬款,868344,SPU023-橙色-均码,813,274,156,39337,213,169,3355,SPU023,橙色,SUB608,B波,https://shop.example.com/product/80004,2025-09-17,2025-10-01 11:52:30,SPU023-橙色-均码
95,2025-09-23,欧时力官方旗舰店,917548,休闲衬衫秋冬款,221500,SPU023-橙色-均码,875,338,120,25495,282,168,11615,SPU023,橙色,SUB658,B波,https://shop.example.com/product/11862,2025-09-23,2025-10-11 13:34:37,SPU023-橙色-均码
96,2025-09-15,GAP官方旗舰店,444745,休闲衬衫秋冬款,778264,SPU023-橙色-L,502,350,245,1355,219,25,8511,SPU023,橙色,SUB867,C波,https://shop.example.com/product/32154,2025-09-15,2025-10-10 10:45:12,SPU023-橙色-L
97,2025-10-01,ZARA女装官方旗舰店,369581,POLO衫热卖款,535762,SPU024-白色-M,165,336,218,13375,149,41,23686,SPU024,白色,SUB199,C波,https://shop.example.com/product/50565,2025-10-01,2025-10-06 01:33:55,SPU024-白色-M
98,2025-09-29,H&M官方旗舰店,263125,POLO衫热卖款,227339,SPU024-白色-M,3,277,122,4324,35,17,11729,SPU024,白色,SUB216,D波,https://shop.example.com/product/54240,2025-09-29,2025-10-27 13:44:06,SPU024-白色-M
99,2025-09-24,GAP男装官方旗舰店,975761,POLO衫热卖款,917404,SPU024-白色-S,136,62,29,33474,32,7,31538,SPU024,白色,SUB784,C波,https://shop.example.com/product/20914,2025-09-24,2025-10-02 00:47:33,SPU024-白色-S
100,2025-10-16,GXG官方旗舰店,284967,家居服热卖款,506722,SPU025-黄色-XL,193,182,139,16402,23,23,1194,SPU025,黄色,SUB735,A波,https://shop.example.com/product/18314,2025-10-12,2025-10-17 22:36:32,SPU025-黄色-XL
101,2025-10-03,美特斯邦威官方旗舰店,268128,家居服热卖款,647447,SPU025-黄色-XXL,208,83,68,12725,18,15,23028,SPU025,黄色,SUB130,C波,https://shop.example.com/product/61023,2025-10-03,2025-10-14 00:31:06,SPU025-黄色-XXL
102,2025-09-07,江南布衣女装官方旗舰店,208600,家居服热卖款,946489,SPU025-黄色-XS,1049,405,397,26375,387,108,10978,SPU025,黄色,SUB294,D波,https://shop.example.com/product/86854,2025-09-07,2025-10-05 04:22:47,SPU025-黄色-XS
103,2025-10-12,H&M官方旗舰店,880823,家居服秋冬款,337765,SPU026-绿色-XXL,1012,382,285,30005,357,198,21116,SPU026,绿色,SUB757,C波,https://shop.example.com/product/36098,2025-10-11,2025-10-29 04:00:20,SPU026-绿色-XXL
104,2025-10-28,优衣库官方旗舰店,574909,家居服秋冬款,297216,SPU026-绿色-L,7,460,292,23292,21,0,24414,SPU026,绿色,SUB764,C波,https://shop.example.com/product/64464,2025-10-18,2025-10-29 08:31:44,SPU026-绿色-L
105,2025-09-05,森马官方旗舰店,585995,家居服秋冬款,189365,SPU026-绿色-XXXL,274,383,49,38970,3,0,38855,SPU026,绿色,SUB239,D波,https://shop.example.com/product/74794,2025-09-05,2025-10-03 09:31:21,SPU026-绿色-XXXL
106,2025-10-11,H&M男装官方旗舰店,898578,家居服秋冬款,457253,SPU026-绿色-S,122,283,16,41817,282,162,16124,SPU026,绿色,SUB419,D波,https://shop.example.com/product/48463,2025-10-11,2025-10-20 18:20:46,SPU026-绿色-S
107,2025-10-15,ZARA官方旗舰店,414787,家居服秋冬款,797118,SPU026-绿色-M,8,19,8,24876,3,1,18393,SPU026,绿色,SUB448,D波,https://shop.example.com/product/19751,2025-10-11,2025-10-24 02:41:25,SPU026-绿色-M
